Pecho,Cuello,Cintura,Longitud_delantera,Altura,Peso,Talla,SEXO,Cadera
88.3,35.9,77,57.1,166.8,51.4,S,H,
89.7,35.7,78.9,57.1,167.1,51.5,S,H,
87.8,35.6,78.6,57.5,168,51.3,S,H,
90.9,36.1,78.8,57.1,165.4,52.8,S,H,
90.5,35.8,77.1,58,165.7,51.9,S,H,
89.7,36.4,76.5,57.6,168.4,52.5,S,H,
89,36.1,76.3,57.8,164.3,54.8,S,H,
89.9,35.9,76.3,57.2,168.2,51.6,S,H,
86.7,36.6,77.8,57.3,164.6,50.9,S,H,
90.2,36.6,76.3,57.6,165,51.9,S,H,
89.3,36.5,76.3,57.3,166.9,53.1,S,H,
89.1,36.2,78.1,56.9,164.3,51.7,S,H,
87.6,36.5,77.4,57.3,164.6,52.8,S,H,
87.6,36.7,76.4,57.6,164.4,50.2,S,H,
88,35.7,76.4,56.8,164.1,54.1,S,H,
90.1,35.6,77.4,56,163.4,53.2,S,H,
88.5,35.5,78.3,56.8,164.8,53.8,S,H,
90.6,35.8,77.5,57,166.1,54.5,S,H,
87.7,36.1,77.1,56.1,169,54,S,H,
88.6,36.1,76.8,56.7,164.3,52.1,S,H,
89.7,36.5,77.1,57.9,169.9,52.2,S,H,
87.2,35.7,78.4,56.1,166.1,51.4,S,H,
86.8,36.7,76.9,56.6,168,52.6,S,H,
90.9,35.6,77.8,57.3,168.1,52.5,S,H,
91,36.1,78.8,57.8,165.4,52.2,S,H,
86.3,36.3,77.4,57.1,164,52.5,S,H,
88.5,36,77.4,56.7,169.3,54.2,S,H,
88.7,36.4,76.4,57.3,168.5,54.1,S,H,
87.6,35.6,76.8,56.8,163.7,53.5,S,H,
86.6,35.9,77.7,56.1,166.1,50.6,S,H,
88.8,36.6,77.3,56.4,169.1,51.4,S,H,
88.7,36.7,77.4,56.8,167.3,52.5,S,H,
88.6,35.8,77.9,57.7,163.4,52.9,S,H,
86.3,36.1,78.8,57.4,166.2,53.6,S,H,
88.3,36.1,77.6,57,168.1,51,S,H,
89.2,36.2,78.1,56.5,167.6,52.9,S,H,
87.6,36.6,79,57.4,164.1,50.8,S,H,
