Entidad,Total,Hombres,Mujeres
AGUASCALIENTES,21386.29542,26117.65024,16028.10267
12-19 AÑOS,5708.678195,6589.153111,4610.568122
20-29 AÑOS,20127.6644,24405.62032,14786.17395
30-39 AÑOS,29355.12836,34403.1545,23501.76175
40-49 AÑOS,30061.95611,38137.83213,20991.58316
50-59 AÑOS,28440.33134,32919.79176,23381.56742
60 Y MÁS AÑOS,19692.3182,25665.8588,13681.1
BAJA CALIFORNIA,25561.56034,29845.30673,20007.38365
12-19 AÑOS,7483.662103,8611.426529,5887.038838
20-29 AÑOS,22859.24607,26648.64286,17998.17029
30-39 AÑOS,29995.09984,35810.88817,22008.67254
40-49 AÑOS,32872.20295,37452.70898,26191.08166
50-59 AÑOS,33041.65438,38134.36874,27214.03592
60 Y MÁS AÑOS,22925.88672,27490.01515,17821.29877
BAJA CALIFORNIA SUR,26270.43763,31174.86432,19636.74404
12-19 AÑOS,5432.269226,5814.06886,4876.128249
20-29 AÑOS,22819.57783,26397.01065,17904.6497
30-39 AÑOS,31683.53239,36794.18467,24860.00582
40-49 AÑOS,31809.44782,37991.49634,23308.58122
50-59 AÑOS,41210.9119,45288.04358,35066.0931
60 Y MÁS AÑOS,34061.724,47073.88319,18485.67961
CAMPECHE,16379.20122,20421.41636,11881.81972
12-19 AÑOS,3151.089343,3905.109876,2227.928388
20-29 AÑOS,15960.46757,21401.66685,9434.18981
30-39 AÑOS,22231.14315,27959.52254,16224.03266
40-49 AÑOS,20967.45658,24881.74689,17295.10244
50-59 AÑOS,26428.27389,32919.44158,17921.50996
60 Y MÁS AÑOS,15668.50986,19558.17932,11540.6429
COAHUILA DE ZARAGOZA,21096.76875,25485.39346,15529.56127
12-19 AÑOS,5655.528472,6664.872308,4347.474383
20-29 AÑOS,20445.22219,23858.62146,16046.38812
30-39 AÑOS,26314.14253,31179.16569,19497.91173
40-49 AÑOS,28126.59167,34532.53751,20266.40303
50-59 AÑOS,27725.23573,33011.39672,20652.90392
60 Y MÁS AÑOS,21005.26242,26941.75138,14414.32226
COLIMA,20477.17688,24078.88605,16601.20529
12-19 AÑOS,5560.474434,7082.736469,3806.796193
20-29 AÑOS,19786.37947,23180.92424,15695.44058
30-39 AÑOS,28267.32775,32374.08861,23831.71581
40-49 AÑOS,25852.11708,29345.67441,22600.84436
50-59 AÑOS,27854.94945,33174.45756,21912.44677
60 Y MÁS AÑOS,20906.19481,27334.09297,14599.55705
CHIAPAS,7923.32628,9600.147515,6128.142237
12-19 AÑOS,2747.248114,3016.755294,2381.982112
20-29 AÑOS,8436.653586,10304.55158,6313.701093
30-39 AÑOS,10729.91954,13370.67033,8356.690535
40-49 AÑOS,12048.44402,15330.01063,8814.702939
50-59 AÑOS,13854.20067,16787.39946,10868.42078
