,Percentage of boys who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of girls who agreed/strongly agreed with the following:,,,,,,,,,,,,Gender difference in the percentage of students who agreed/strongly agreed with the following: (B-G):,,,,,,,,,,,,Percentage of socio-economically disadvantaged1 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of socio-economically advantaged2 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Socio-economic disparity in the percentage of students who agreed/strongly agreed with the following (advantaged - disadvantaged):,,,,,,,,,,,
,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,
,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,61,-0.8,92.3,-0.4,86.3,-0.6,77.2,-0.7,54.9,-0.8,93.3,-0.4,69.4,-0.8,94.1,-0.4,92.8,-0.5,66.9,-0.9,57,-0.8,94.4,-0.4,-8.4,-1.1,-1.8,-0.6,-6.5,-0.8,10.3,-1.1,-2.1,-1.1,-1.1,-0.6,65.1,-1.2,88.9,-0.6,88.2,-0.8,69.6,-1.2,55.6,-1.2,91.7,-0.6,66.2,-1,97.2,-0.4,90.9,-0.7,74.8,-1,55.9,-1.2,95.6,-0.5,1.2,-1.5,8.3,-0.8,2.7,-1,5.2,-1.4,0.3,-1.6,3.9,-0.8
Austria,52.2,-1.2,82.1,-1.2,75.3,-1,72.2,-1,40.4,-0.8,88.1,-0.8,56.1,-1,81.6,-0.7,86.5,-0.7,60.9,-1,43.2,-0.9,88.8,-0.6,-3.9,-1.6,0.5,-1.4,-11.2,-1.2,11.2,-1.4,-2.8,-1.2,-0.7,-1.1,55,-1.7,76.3,-1.4,82.3,-1.1,63.8,-1.4,45.2,-1.4,86.3,-1,54.2,-1.3,88.2,-1,78.9,-1.4,67.7,-1.4,39,-1.5,91.4,-0.7,-0.8,-2,11.9,-1.5,-3.3,-1.7,3.8,-1.9,-6.2,-2.1,5.2,-1.3
Belgium,71.6,-0.9,91,-0.6,84.3,-0.6,76.8,-0.7,59.2,-0.9,92.4,-0.4,74.4,-0.8,91.3,-0.4,85.9,-0.5,66.1,-0.8,63.6,-0.8,92.4,-0.4,-2.8,-1.2,-0.3,-0.7,-1.6,-0.7,10.7,-0.9,-4.4,-1.1,0,-0.5,73.2,-1.2,87.2,-0.8,84.6,-0.8,71.3,-1.1,66.4,-1.3,90.2,-0.8,70.6,-1.3,94.5,-0.5,85.6,-1,71,-1.3,53.5,-1.5,94.6,-0.6,-2.5,-1.7,7.4,-0.9,1,-1.3,-0.3,-1.9,-12.8,-2,4.5,-1
Canada,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Chile,62.4,-1.2,88,-0.8,87.7,-0.8,74.7,-1,44.4,-1.1,90,-0.7,64.6,-0.9,87.6,-0.7,88,-0.8,64.3,-1,45.1,-1,89.7,-0.7,-2.3,-1.4,0.4,-1,-0.3,-1.1,10.4,-1.5,-0.6,-1.5,0.3,-0.8,58,-1.5,81.1,-1.2,83.1,-1.2,65.5,-1.5,45.1,-1.6,85,-1.2,69.2,-1.1,94.8,-0.9,91.1,-0.7,71.9,-1.3,45.5,-1.3,94,-0.7,11.2,-1.8,13.7,-1.4,8,-1.5,6.5,-2,0.3,-2.1,9,-1.4
Czech Republic,55.8,-0.9,88.7,-0.7,80.6,-0.9,70.9,-1,46.9,-1.1,89.6,-0.7,54.7,-1,89,-0.7,81.5,-1,47.3,-1.1,48.5,-1,87.5,-0.7,1.1,-1.3,-0.3,-0.9,-0.9,-1.3,23.6,-1.6,-1.5,-1.5,2,-0.9,57.8,-1.5,82.2,-1.4,77.7,-1.4,57.7,-1.8,54.1,-1.6,85.7,-1,52.9,-1.4,93.1,-0.8,83.1,-1,58.9,-1.2,41.2,-1.4,90.4,-0.9,-4.9,-2.1,10.9,-1.6,5.5,-1.6,1.1,-2.1,-12.8,-2.2,4.7,-1.3
