,nombre_tienda,razon_social,clase,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,codigo_postal,ubicacion,telefono,correo,pagina_web,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,municipio,dimension,porcentaje_obesidad,valor_comercial,numero_tiendas_municipio,numero_tiendas_colonia,place_id,current_popularity,popular_times,rating,rating_n,populartimes,time_spent
0,"Monterrey, san agustin",SERVICIOS SHASA S DE RL DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,AVENIDA,Batallón San Patricio,1000.0,0.0,REAL DE SAN AGUSTIN,66260,"SAN PEDRO GARZA GARCÍA, San Pedro Garza García, NUEVO LEÓN   ",,,WWW.SHASA.COM,Fijo,-100.33683469,25.64809373,CENTRO Y PLAZA COMERCIAL,PLAZA FIESTA SAN AGUSTIN,SN,San Pedro Garza Garcia,A,35.173,4634.679777,247,4,,,,,,,
1,Ropa dama y cosmeticos,10 ROPA DAMA Y COSMETICOS ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,10.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,10,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
2,Ropa dama,106 ROPA DAMA ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,106,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
3,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,AVENIDA,FRAY SERVANDO TERESA DE MIER,240.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31418857,25.66839125,,,,Monterrey,C,42.2707,6098.849922,1578,276,,,,,,,
4,Moda casual,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,70.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183438675.0,MODA121@GMAIL.COM,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,70 Y 121,Monterrey,C,42.2707,6098.849922,1578,282,,,,,,,
5,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,566.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31522988,25.67107959,,,,Monterrey,C,42.2707,6098.849922,1578,276,,,,,,,
6,Y  ropa caballero,165 Y 167 ROPA CABALLERO ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,165,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
7,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,728.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31546357,25.66926234,,,,Monterrey,C,42.2707,6098.849922,1578,276,,,,,,,
8,Ropa caballero,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,217,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
9,Y  ropa y calzado de dama,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,290,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
