,nombre_tienda,razon_social,clase,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,codigo_postal,ubicacion,telefono,correo,pagina_web,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,municipio,dimension,porcentaje_obesidad,valor_comercial,numero_tiendas_municipio,numero_tiendas_colonia,rating,rating_n,populartimes,time_spent,place_id,current_popularity,popular_times
0,"Monterrey, san agustin",SERVICIOS SHASA S DE RL DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,AVENIDA,Batallón San Patricio,1000.0,0.0,REAL DE SAN AGUSTIN,66260,"SAN PEDRO GARZA GARCÍA, San Pedro Garza García, NUEVO LEÓN   ",,,WWW.SHASA.COM,Fijo,-100.33683469,25.64809373,CENTRO Y PLAZA COMERCIAL,PLAZA FIESTA SAN AGUSTIN,SN,San Pedro Garza Garcia,A,35.173,4634.679777,247,4,4.5,241.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 48, 63, 69, 64, 55, 56, 66, 55, 24, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 46, 56, 63, 65, 52, 41, 53, 50, 20, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 39, 51, 53, 48, 45, 57, 68, 55, 26, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 57, 55, 61, 67, 55, 52, 58, 43, 15, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 42, 47, 46, 47, 56, 60, 47, 23, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 50, 69, 72, 72, 85, 100, 91, 58, 25, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 37, 51, 50, 44, 48, 46, 28, 10, 0, 0, 0]}]","[10, 10]",ChIJ6fE4SW2-YoYRarYYMb2uDIU,,"[[7, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 18, 'Usually not busy', '', '11 AM'], [12, 26, 'Usually not too busy', '', '12 PM'], [13, 37, 'Usually not too busy', '', '1 PM'], [14, 51, 'Usually a little busy', '', '2 PM'], [15, 50, 'Usually a little busy', '', '3 PM'], [16, 44, 'Usually not too busy', '', '4 PM'], [17, 48, 'Usually not too busy', '', '5 PM'], [18, 46, 'Usually not too busy', '', '6 PM'], [19, 28, 'Usually not too busy', '', '7 PM'], [20, 10, 'Usually not busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 26, 'Usually not too busy', '', '11 AM'], [12, 48, 'Usually not too busy', '', '12 PM'], [13, 63, 'Usually a little busy', '', '1 PM'], [14, 69, 'Usually a little busy', '', '2 PM'], [15, 64, 'Usually a little busy', '', '3 PM'], [16, 55, 'Usually a little busy', '', '4 PM'], [17, 56, 'Usually a little busy', '', '5 PM'], [18, 66, 'Usually a little busy', '', '6 PM'], [19, 55, 'Usually a little busy', '', '7 PM'], [20, 24, 'Usually not too busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 27, 'Usually not too busy', '', '11 AM'], [12, 46, 'Usually not too busy', '', '12 PM'], [13, 56, 'Usually a little busy', '', '1 PM'], [14, 63, 'Usually a little busy', '', '2 PM'], [15, 65, 'Usually a little busy', '', '3 PM'], [16, 52, 'Usually a little busy', '', '4 PM'], [17, 41, 'Usually not too busy', '', '5 PM'], [18, 53, 'Usually a little busy', '', '6 PM'], [19, 50, 'Usually a little busy', '', '7 PM'], [20, 20, 'Usually not too busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 23, 'Usually not too busy', '', '11 AM'], [12, 39, 'Usually not too busy', '', '12 PM'], [13, 51, 'Usually a little busy', '', '1 PM'], [14, 53, 'Usually a little busy', '', '2 PM'], [15, 48, 'Usually not too busy', '', '3 PM'], [16, 45, 'Usually not too busy', '', '4 PM'], [17, 57, 'Usually a little busy', '', '5 PM'], [18, 68, 'Usually a little busy', '', '6 PM'], [19, 55, 'Usually a little busy', '', '7 PM'], [20, 26, 'Usually not too busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 39, 'Usually not too busy', '', '11 AM'], [12, 57, 'Usually a little busy', '', '12 PM'], [13, 55, 'Usually a little busy', '', '1 PM'], [14, 61, 'Usually a little busy', '', '2 PM'], [15, 67, 'Usually a little busy', '', '3 PM'], [16, 55, 'Usually a little busy', '', '4 PM'], [17, 52, 'Usually a little busy', '', '5 PM'], [18, 58, 'Usually a little busy', '', '6 PM'], [19, 43, 'Usually not too busy', '', '7 PM'], [20, 15, 'Usually not busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 16, 'Usually not busy', '', '11 AM'], [12, 30, 'Usually not too busy', '', '12 PM'], [13, 42, 'Usually not too busy', '', '1 PM'], [14, 47, 'Usually not too busy', '', '2 PM'], [15, 46, 'Usually not too busy', '', '3 PM'], [16, 47, 'Usually not too busy', '', '4 PM'], [17, 56, 'Usually a little busy', '', '5 PM'], [18, 60, 'Usually a little busy', '', '6 PM'], [19, 47, 'Usually not too busy', '', '7 PM'], [20, 23, 'Usually not too busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 23, 'Usually not too busy', '', '11 AM'], [12, 50, 'Usually a little busy', '', '12 PM'], [13, 69, 'Usually a little busy', '', '1 PM'], [14, 72, 'Usually a little busy', '', '2 PM'], [15, 72, 'Usually a little busy', '', '3 PM'], [16, 85, 'Usually as busy as it gets', '', '4 PM'], [17, 100, 'Usually as busy as it gets', '', '5 PM'], [18, 91, 'Usually as busy as it gets', '', '6 PM'], [19, 58, 'Usually a little busy', '', '7 PM'], [20, 25, 'Usually not too busy', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]"
1,Ropa dama y cosmeticos,10 ROPA DAMA Y COSMETICOS ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,10.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,10,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
2,Ropa dama,106 ROPA DAMA ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,106,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
3,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,AVENIDA,FRAY SERVANDO TERESA DE MIER,240.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31418857,25.66839125,,,,Monterrey,C,42.2707,6098.849922,1578,276,3.8,5.0,,,ChIJB8AL-L6AhYARhYT0HnzPqNg,,
4,Moda casual,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,70.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183438675.0,MODA121@GMAIL.COM,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,70 Y 121,Monterrey,C,42.2707,6098.849922,1578,282,4.1,5515.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 56, 74, 83, 83, 84, 89, 90, 78, 52, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 60, 79, 89, 88, 84, 86, 91, 82, 55, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 66, 86, 95, 92, 86, 88, 94, 84, 56, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 59, 77, 91, 99, 99, 91, 77, 60, 42, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 56, 74, 84, 83, 77, 77, 81, 75, 53, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 55, 78, 91, 92, 90, 96, 100, 84, 52, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]","[15, 45]",ChIJRZ7FCCK-YoYRLz6AgoPG-Ws,,"[[7, None, 1], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 35, 'Usually not too busy', '', '10 AM'], [11, 56, 'Usually a little busy', '', '11 AM'], [12, 74, 'Usually a little busy', '', '12 PM'], [13, 83, 'Usually as busy as it gets', '', '1 PM'], [14, 83, 'Usually as busy as it gets', '', '2 PM'], [15, 84, 'Usually as busy as it gets', '', '3 PM'], [16, 89, 'Usually as busy as it gets', '', '4 PM'], [17, 90, 'Usually as busy as it gets', '', '5 PM'], [18, 78, 'Usually a little busy', '', '6 PM'], [19, 52, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 39, 'Usually not too busy', '', '10 AM'], [11, 60, 'Usually a little busy', '', '11 AM'], [12, 79, 'Usually a little busy', '', '12 PM'], [13, 89, 'Usually as busy as it gets', '', '1 PM'], [14, 88, 'Usually as busy as it gets', '', '2 PM'], [15, 84, 'Usually as busy as it gets', '', '3 PM'], [16, 86, 'Usually as busy as it gets', '', '4 PM'], [17, 91, 'Usually as busy as it gets', '', '5 PM'], [18, 82, 'Usually as busy as it gets', '', '6 PM'], [19, 55, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 43, 'Usually not too busy', '', '10 AM'], [11, 66, 'Usually a little busy', '', '11 AM'], [12, 86, 'Usually as busy as it gets', '', '12 PM'], [13, 95, 'Usually as busy as it gets', '', '1 PM'], [14, 92, 'Usually as busy as it gets', '', '2 PM'], [15, 86, 'Usually as busy as it gets', '', '3 PM'], [16, 88, 'Usually as busy as it gets', '', '4 PM'], [17, 94, 'Usually as busy as it gets', '', '5 PM'], [18, 84, 'Usually as busy as it gets', '', '6 PM'], [19, 56, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 42, 'Usually not too busy', '', '10 AM'], [11, 59, 'Usually a little busy', '', '11 AM'], [12, 77, 'Usually a little busy', '', '12 PM'], [13, 91, 'Usually as busy as it gets', '', '1 PM'], [14, 99, 'Usually as busy as it gets', '', '2 PM'], [15, 99, 'Usually as busy as it gets', '', '3 PM'], [16, 91, 'Usually as busy as it gets', '', '4 PM'], [17, 77, 'Usually a little busy', '', '5 PM'], [18, 60, 'Usually a little busy', '', '6 PM'], [19, 42, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 35, 'Usually not too busy', '', '10 AM'], [11, 56, 'Usually a little busy', '', '11 AM'], [12, 74, 'Usually a little busy', '', '12 PM'], [13, 84, 'Usually as busy as it gets', '', '1 PM'], [14, 83, 'Usually as busy as it gets', '', '2 PM'], [15, 77, 'Usually a little busy', '', '3 PM'], [16, 77, 'Usually a little busy', '', '4 PM'], [17, 81, 'Usually as busy as it gets', '', '5 PM'], [18, 75, 'Usually a little busy', '', '6 PM'], [19, 53, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 31, 'Usually not too busy', '', '10 AM'], [11, 55, 'Usually a little busy', '', '11 AM'], [12, 78, 'Usually a little busy', '', '12 PM'], [13, 91, 'Usually as busy as it gets', '', '1 PM'], [14, 92, 'Usually as busy as it gets', '', '2 PM'], [15, 90, 'Usually as busy as it gets', '', '3 PM'], [16, 96, 'Usually as busy as it gets', '', '4 PM'], [17, 100, 'Usually as busy as it gets', '', '5 PM'], [18, 84, 'Usually as busy as it gets', '', '6 PM'], [19, 52, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]"
5,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,566.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31522988,25.67107959,,,,Monterrey,C,42.2707,6098.849922,1578,276,3.8,5.0,,,ChIJB8AL-L6AhYARhYT0HnzPqNg,,
6,Y  ropa caballero,165 Y 167 ROPA CABALLERO ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,165,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
7,Melody,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,728.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31546357,25.66926234,,,,Monterrey,C,42.2707,6098.849922,1578,276,3.8,5.0,,,ChIJB8AL-L6AhYARhYT0HnzPqNg,,
8,Ropa caballero,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,217,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
9,Y  ropa y calzado de dama,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,290,Monterrey,,42.2707,6098.849922,1578,271,4.1,5515.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 56, 74, 83, 83, 84, 89, 90, 78, 52, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 60, 79, 89, 88, 84, 86, 91, 82, 55, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 66, 86, 95, 92, 86, 88, 94, 84, 56, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 59, 77, 91, 99, 99, 91, 77, 60, 42, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 56, 74, 84, 83, 77, 77, 81, 75, 53, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 55, 78, 91, 92, 90, 96, 100, 84, 52, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]","[15, 45]",ChIJRZ7FCCK-YoYRLz6AgoPG-Ws,,"[[7, None, 1], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 35, 'Usually not too busy', '', '10 AM'], [11, 56, 'Usually a little busy', '', '11 AM'], [12, 74, 'Usually a little busy', '', '12 PM'], [13, 83, 'Usually as busy as it gets', '', '1 PM'], [14, 83, 'Usually as busy as it gets', '', '2 PM'], [15, 84, 'Usually as busy as it gets', '', '3 PM'], [16, 89, 'Usually as busy as it gets', '', '4 PM'], [17, 90, 'Usually as busy as it gets', '', '5 PM'], [18, 78, 'Usually a little busy', '', '6 PM'], [19, 52, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 39, 'Usually not too busy', '', '10 AM'], [11, 60, 'Usually a little busy', '', '11 AM'], [12, 79, 'Usually a little busy', '', '12 PM'], [13, 89, 'Usually as busy as it gets', '', '1 PM'], [14, 88, 'Usually as busy as it gets', '', '2 PM'], [15, 84, 'Usually as busy as it gets', '', '3 PM'], [16, 86, 'Usually as busy as it gets', '', '4 PM'], [17, 91, 'Usually as busy as it gets', '', '5 PM'], [18, 82, 'Usually as busy as it gets', '', '6 PM'], [19, 55, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 43, 'Usually not too busy', '', '10 AM'], [11, 66, 'Usually a little busy', '', '11 AM'], [12, 86, 'Usually as busy as it gets', '', '12 PM'], [13, 95, 'Usually as busy as it gets', '', '1 PM'], [14, 92, 'Usually as busy as it gets', '', '2 PM'], [15, 86, 'Usually as busy as it gets', '', '3 PM'], [16, 88, 'Usually as busy as it gets', '', '4 PM'], [17, 94, 'Usually as busy as it gets', '', '5 PM'], [18, 84, 'Usually as busy as it gets', '', '6 PM'], [19, 56, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 42, 'Usually not too busy', '', '10 AM'], [11, 59, 'Usually a little busy', '', '11 AM'], [12, 77, 'Usually a little busy', '', '12 PM'], [13, 91, 'Usually as busy as it gets', '', '1 PM'], [14, 99, 'Usually as busy as it gets', '', '2 PM'], [15, 99, 'Usually as busy as it gets', '', '3 PM'], [16, 91, 'Usually as busy as it gets', '', '4 PM'], [17, 77, 'Usually a little busy', '', '5 PM'], [18, 60, 'Usually a little busy', '', '6 PM'], [19, 42, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 35, 'Usually not too busy', '', '10 AM'], [11, 56, 'Usually a little busy', '', '11 AM'], [12, 74, 'Usually a little busy', '', '12 PM'], [13, 84, 'Usually as busy as it gets', '', '1 PM'], [14, 83, 'Usually as busy as it gets', '', '2 PM'], [15, 77, 'Usually a little busy', '', '3 PM'], [16, 77, 'Usually a little busy', '', '4 PM'], [17, 81, 'Usually as busy as it gets', '', '5 PM'], [18, 75, 'Usually a little busy', '', '6 PM'], [19, 53, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 31, 'Usually not too busy', '', '10 AM'], [11, 55, 'Usually a little busy', '', '11 AM'], [12, 78, 'Usually a little busy', '', '12 PM'], [13, 91, 'Usually as busy as it gets', '', '1 PM'], [14, 92, 'Usually as busy as it gets', '', '2 PM'], [15, 90, 'Usually as busy as it gets', '', '3 PM'], [16, 96, 'Usually as busy as it gets', '', '4 PM'], [17, 100, 'Usually as busy as it gets', '', '5 PM'], [18, 84, 'Usually as busy as it gets', '', '6 PM'], [19, 52, 'Usually a little busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]"
